values,values1
"42, 3, 10, pnd 0 (<24 hrs), 0","42, 3, 10, pnd 0 (<24 hrs), 0,"
"43 years old, 53 years old, 56 years old, 16 years old, 6 years old","43 years old, 53 years old, 56 years old, 16 years old, 6 years old,"
"43, 26, 41, 42, 55.2","43, 26, 41, 42, 55.2,"
"43, 67, 19, 22, 37","43, 67, 19, 22, 37,"
"44, 34","44, 34,"
"44, 50, 31, 34","44, 50, 31, 34,"
"46, 51, 42, 47, 58","46, 51, 42, 47, 58,"
"48-92 years old, 18-25 yr old, pediatric patient","48-92 years old, 18-25 yr old, pediatric patient,"
"48, 46, 56, 53, 50","48, 46, 56, 53, 50,"
"48, 49, 55, 47, 46","48, 49, 55, 47, 46,"
"49, 39, 41","49, 39, 41,"
"49, 9, na, 4, 52","49, 9, na, 4, 52,"
"4yr, 2yr, 13yr, 3yr","4yr, 2yr, 13yr, 3yr,"
"4yr, 6yr, 3yr, 8yr, 5yr","4yr, 6yr, 3yr, 8yr, 5yr,"
"5 week-old tissue48 hpi with pst dc3000(avrrpt2) leaves, 5 week-old tissueuninoculated leaves","5 week-old tissue48 hpi with pst dc3000(avrrpt2) leaves, 5 week-old tissueuninoculated leaves,"
"5 week-old tissueuninoculated leaves, 5 week-old tissue48 hpi with pst dc3000(avrrpt2) leaves","5 week-old tissueuninoculated leaves, 5 week-old tissue48 hpi with pst dc3000(avrrpt2) leaves,"
5 weeks old,"5 weeks old,"
"5, 10, 3, 17, 2","5, 10, 3, 17, 2,"
"5.2, 5.6, 15.7, 5.3, 6.4","5.2, 5.6, 15.7, 5.3, 6.4,"
"51, 33, 42, 30","51, 33, 42, 30,"
"51, 33, 59, 38, 22","51, 33, 59, 38, 22,"
"51, 75, 78, 39, 40","51, 75, 78, 39, 40,"
"52, 40, 53, 23, adult","52, 40, 53, 23, adult,"
"52, 50, 48, 43, 30","52, 50, 48, 43, 30,"
"52, 87 years, 44, 57, 61","52, 87 years, 44, 57, 61,"
"53, 45, 47 years, 34 years, 40 years","53, 45, 47 years, 34 years, 40 years,"
"54, 17, 22, 15, 24","54, 17, 22, 15, 24,"
"54, 57, 49, 44, 42","54, 57, 49, 44, 42,"
"54, 76, 55, 81, 39","54, 76, 55, 81, 39,"
"55 week dev. stage (boyes et al. plant cell 2001), 55weekdev.stage (boyes et al","55 week dev. stage (boyes et al. plant cell 2001), 55weekdev.stage (boyes et al,"
"55, 52, 69, 56, 64","55, 52, 69, 56, 64,"
"55, 56, 58, na, 61","55, 56, 58, na, 61,"
"56, 44, 54, 58, 63","56, 44, 54, 58, 63,"
"57, 49, 61, 54, 73","57, 49, 61, 54, 73,"
"58, 61, 65, 46, 50","58, 61, 65, 46, 50,"
"58.5 years, 38.25yrs., 31.5 years old, 41.3, 29.68yrs","58.5 years, 38.25yrs., 31.5 years old, 41.3, 29.68yrs,"
"59, 73, 63, 70, 58","59, 73, 63, 70, 58,"
"6-8 d, 2 d","6-8 d, 2 d,"
6-leaf-old,"6-leaf-old,"
"60-69, n/a, 70-79, 68, 78","60-69, n/a, 70-79, 68, 78,"
"60, 53, 57, 62, 55","60, 53, 57, 62, 55,"
"60, 65, 74, 58, 67","60, 65, 74, 58, 67,"
"60, 66, 71, 63, 75","60, 66, 71, 63, 75,"
"60y 5m, 34y 2m, 59y 7m, 31y 3m, 57y 11m","60y 5m, 34y 2m, 59y 7m, 31y 3m, 57y 11m,"
"61, 60, 57, 37, 54","61, 60, 57, 37, 54,"
"61, 64, 63, 65, 67","61, 64, 63, 65, 67,"
"62, 26.6, 30, 64, 72","62, 26.6, 30, 64, 72,"
"62, 40, 65, 56, 68","62, 40, 65, 56, 68,"
"62, 58, 44, 75, 65","62, 58, 44, 75, 65,"
"63, 67, 59, 12, 52","63, 67, 59, 12, 52,"
"63, 78, 74, 66, 71","63, 78, 74, 66, 71,"
"64, 54, 60, 27, 48","64, 54, 60, 27, 48,"
"65, 57, 49, 59, 46","65, 57, 49, 59, 46,"
"65, 66, 61, 76, 70","65, 66, 61, 76, 70,"
"65, 66, 63, 59, 39","65, 66, 63, 59, 39,"
"65, 67, 69, 63, 70","65, 67, 69, 63, 70,"
"66, 57, 47, 65, 54","66, 57, 47, 65, 54,"
"66, 58, 62, 73, 64","66, 58, 62, 73, 64,"
"67, 76, 71, 72, 63","67, 76, 71, 72, 63,"
"67, 76, 71, 72, 63","67, 76, 71, 72, 63,"
"67.5, 75.3, 74.5, 71.3","67.5, 75.3, 74.5, 71.3,"
"68 years sexfemale, 72 years sexfemale, 83 years sexfemale, 71 years sexmale","68 years sexfemale, 72 years sexfemale, 83 years sexfemale, 71 years sexmale,"
"68 years, 60 years, 48 years, 71 years, 62 years","68 years, 60 years, 48 years, 71 years, 62 years,"
"68, 47, 48, 54, 69","68, 47, 48, 54, 69,"
"68, 54, 49, 58, 72","68, 54, 49, 58, 72,"
"68, 61, 59, 76, 74","68, 61, 59, 76, 74,"
"68, 61, 71, 73, 51","68, 61, 71, 73, 51,"
"68, 66, 67, 70, 71","68, 66, 67, 70, 71,"
"68, 67, 64, 58, 59","68, 67, 64, 58, 59,"
"68, 73, 64, 72, 82","68, 73, 64, 72, 82,"
"68.4, 59.9, 69.9, 65.4, 66.3","68.4, 59.9, 69.9, 65.4, 66.3,"
"69, 66, na, 67, 51, 50","69, 66, na, 67, 51, 50,"
"69, 70, 56, 67, 59","69, 70, 56, 67, 59,"
"69, 70, 56, 9, 74","69, 70, 56, 9, 74,"
7 weeks,"7 weeks,"
7 weeks,"7 weeks,"
7 weeks,"7 weeks,"
